Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
384.0,-6.81,-3.56,6.11,4.19
387.0,-6.84,-3.53,6.09,4.17
389.0,-6.82,-3.57,6.05,4.17
392.0,-6.95,-3.62,6.09,4.17
394.0,-6.97,-3.63,6.21,4.18
397.0,-6.89,-3.59,6.24,4.17
399.0,-6.82,-3.57,6.14,4.16
402.0,-6.79,-3.55,6.16,4.18
404.0,-6.91,-3.61,6.12,4.17
407.0,-6.91,-3.62,6.2,4.19
409.0,-6.82,-3.63,6.39,4.19
419.0,-6.53,-3.76,6.27,4.19
422.0,-6.48,-3.8,6.41,4.17
424.0,-6.41,-3.86,6.64,4.17
427.0,-6.31,-3.91,6.73,4.17
429.0,-6.25,-3.92,6.72,4.19
432.0,-6.18,-3.81,6.72,4.19
434.0,-6.21,-3.82,6.69,4.17
437.0,-6.28,-3.89,6.72,4.19
439.0,-6.37,-3.82,6.55,4.17
442.0,-6.33,-3.84,6.65,4.17
444.0,-6.37,-3.84,6.57,4.17
447.0,-6.51,-3.73,6.47,4.19
449.0,-6.69,-3.65,6.4,4.19
452.0,-6.76,-3.64,6.47,4.19
454.0,-6.8,-3.6,6.5,4.17
457.0,-6.76,-3.66,6.46,4.2
459.0,-6.69,-3.79,6.54,4.19
462.0,-6.71,-3.81,6.52,4.18
464.0,-6.7,-3.81,6.55,4.17
467.0,-6.67,-3.69,6.45,4.19
469.0,-6.71,-3.61,6.37,4.19
472.0,-6.79,-3.49,6.33,4.19
474.0,-6.84,-3.41,6.31,4.19
477.0,-6.89,-3.48,6.48,4.17
479.0,-6.69,-3.61,6.5,4.19
482.0,-6.71,-3.63,6.45,4.17
484.0,-6.64,-3.76,6.37,4.19
487.0,-6.63,-3.72,6.46,4.19
489.0,-6.52,-3.84,6.62,4.19
492.0,-6.42,-3.83,6.72,4.19
494.0,-6.36,-3.94,6.8,4.19
497.0,-6.36,-3.86,6.8,4.19
499.0,-6.26,-3.89,6.97,4.17
502.0,-6.23,-3.94,7.04,4.17
504.0,-6.18,-4.04,7.1,4.17
507.0,-6.13,-3.98,7.07,4.17
509.0,-6.14,-3.97,7.12,4.19
512.0,-6.17,-3.9,7.28,4.19
522.0,-6.47,-3.61,6.95,4.17
524.0,-6.43,-3.64,6.84,4.19
527.0,-6.37,-3.64,6.68,4.17
529.0,-6.33,-3.63,6.68,4.19
532.0,-6.42,-3.67,6.68,4.19
534.0,-6.5,-3.71,6.71,4.19
537.0,-6.56,-3.68,6.56,4.19
539.0,-6.61,-3.59,6.53,4.19
542.0,-6.62,-3.45,6.46,4.19
544.0,-6.71,-3.29,6.61,4.19
547.0,-6.73,-3.39,6.79,4.19
549.0,-6.52,-3.37,6.95,4.19
552.0,-6.41,-3.31,7.13,4.19
554.0,-6.24,-3.37,7.17,4.17
557.0,-6.12,-3.35,7.18,4.19
559.0,-5.92,-3.4,7.31,4.19
562.0,-5.76,-3.41,7.37,4.17
564.0,-5.61,-3.35,7.45,4.18
567.0,-5.57,-3.33,7.47,4.19
574.0,-5.35,-3.21,7.6,4.19
577.0,-5.33,-3.13,7.55,4.19
579.0,-5.34,-3.19,7.58,4.14
582.0,-5.36,-3.14,7.59,4.17
584.0,-5.26,-3.23,7.51,4.17
587.0,-5.26,-3.29,7.6,4.19
589.0,-5.33,-3.34,7.53,4.2
592.0,-5.4,-3.22,7.47,4.19
594.0,-5.43,-3.22,7.54,4.17
596.0,-5.5,-3.13,7.4,4.17
599.0,-5.6,-3.0,7.41,4.19
601.0,-5.6,-2.96,7.37,4.17
604.0,-5.55,-2.85,7.27,4.17
607.0,-5.61,-2.84,7.18,4.19
609.0,-5.62,-2.74,7.14,4.19
611.0,-5.65,-2.69,7.06,4.19
614.0,-5.68,-2.58,7.43,4.19
616.0,-5.84,-2.69,8.13,4.19
619.0,-5.04,-2.36,9.18,4.19
621.0,-4.24,-1.48,7.4,4.17
624.0,-4.9,-0.5,6.27,4.19
626.0,-5.84,-0.67,6.92,4.2
629.0,-6.44,-1.31,7.91,4.19
631.0,-6.48,-1.96,7.89,4.19
634.0,-6.02,-2.31,7.39,4.19
636.0,-5.36,-2.61,7.04,4.19
639.0,-4.8,-2.76,6.91,4.19
641.0,-4.61,-2.72,6.92,4.18
644.0,-4.69,-2.67,7.02,4.17
646.0,-4.91,-2.53,7.27,4.19
649.0,-5.14,-2.28,7.6,4.19
659.0,-5.42,-1.93,7.71,4.2
661.0,-5.49,-2.05,7.68,4.19
664.0,-5.47,-2.16,7.62,4.2
666.0,-5.51,-2.28,7.68,4.18
669.0,-5.55,-2.37,7.67,4.19
671.0,-5.62,-2.28,7.63,4.18
674.0,-5.63,-2.29,7.86,4.19
676.0,-5.77,-2.35,7.81,4.19
679.0,-5.89,-2.35,7.66,4.19
681.0,-6.05,-2.39,7.65,4.15
684.0,-6.03,-2.44,7.61,4.17
686.0,-6.06,-2.47,7.57,4.19
689.0,-5.97,-2.5,7.65,4.19
691.0,-5.9,-2.48,7.65,4.19
694.0,-5.66,-2.49,7.6,4.19
696.0,-5.54,-2.33,7.7,4.17
699.0,-5.36,-2.24,7.75,4.19
701.0,-5.12,-2.29,7.87,4.19
704.0,-5.12,-2.45,7.92,4.19
706.0,-4.9,-2.61,7.79,4.18
709.0,-4.89,-2.65,7.81,4.17
711.0,-4.7,-2.82,7.75,4.18
714.0,-4.66,-2.89,7.7,4.19
716.0,-4.57,-2.94,7.72,4.19
719.0,-4.46,-3.0,7.64,4.17
721.0,-4.47,-2.95,7.85,4.2
724.0,-4.34,-3.02,7.87,4.19
726.0,-4.24,-2.97,7.92,4.19
729.0,-4.14,-3.05,7.98,4.19
731.0,-4.11,-3.09,7.96,4.19
