Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
390.0,-2.11,10.17,2.13,4.19
393.0,-2.09,10.22,2.04,4.22
395.0,-2.18,10.3,2.09,4.22
398.0,-2.12,10.28,2.15,4.2
400.0,-2.13,10.35,2.13,4.22
403.0,-2.21,10.33,2.1,4.2
405.0,-2.13,10.33,2.09,4.22
408.0,-2.18,10.25,2.01,4.2
410.0,-2.09,10.42,2.09,4.2
413.0,-2.11,10.47,2.12,4.22
415.0,-2.1,10.49,2.13,4.21
418.0,-2.06,10.52,2.18,4.22
420.0,-1.95,10.56,2.1,4.19
423.0,-2.01,10.51,2.12,4.2
425.0,-1.97,10.55,2.13,4.2
428.0,-2.07,10.54,2.21,4.2
430.0,-2.04,10.54,2.28,4.22
440.0,-2.03,10.57,2.22,4.21
443.0,-1.98,10.52,2.25,4.22
445.0,-2.08,10.57,2.22,4.22
448.0,-2.04,10.59,2.29,4.21
450.0,-2.12,10.59,2.26,4.2
453.0,-2.14,10.55,2.19,4.21
455.0,-2.18,10.59,2.26,4.22
458.0,-2.24,10.61,2.25,4.21
460.0,-2.25,10.55,2.23,4.2
463.0,-2.26,10.49,2.21,4.2
465.0,-2.28,10.5,2.28,4.2
468.0,-2.31,10.47,2.11,4.18
470.0,-2.34,10.5,2.14,4.22
473.0,-2.41,10.49,2.08,4.22
475.0,-2.42,10.43,2.36,4.2
478.0,-2.46,10.32,2.33,4.22
480.0,-2.38,10.29,2.36,4.2
483.0,-2.38,10.32,2.15,4.22
485.0,-2.47,10.32,2.07,4.22
488.0,-2.45,10.2,2.17,4.22
490.0,-2.49,10.22,2.43,4.22
493.0,-2.46,10.19,2.4,4.19
495.0,-2.44,10.07,2.36,4.2
498.0,-2.46,10.05,2.36,4.2
500.0,-2.43,10.04,2.35,4.22
503.0,-2.44,10.06,2.38,4.21
505.0,-2.45,10.04,2.42,4.2
508.0,-2.4,9.94,2.42,4.22
510.0,-2.38,9.89,2.4,4.22
513.0,-2.39,9.87,2.46,4.2
515.0,-2.42,9.86,2.43,4.23
518.0,-2.46,9.86,2.53,4.21
520.0,-2.46,9.84,2.49,4.22
523.0,-2.41,9.73,2.53,4.22
525.0,-2.43,9.69,2.63,4.2
528.0,-2.39,9.61,2.62,4.2
530.0,-2.46,9.53,2.53,4.22
533.0,-2.4,9.47,2.57,4.2
535.0,-2.37,9.43,2.62,4.2
538.0,-2.45,9.39,2.57,4.2
540.0,-2.43,9.35,2.54,4.22
543.0,-2.41,9.31,2.49,4.22
545.0,-2.35,9.25,2.5,4.22
548.0,-2.35,9.2,2.42,4.2
550.0,-2.29,9.12,2.47,4.22
553.0,-2.33,9.11,2.4,4.22
555.0,-2.3,9.07,2.42,4.2
563.0,-2.25,8.97,2.38,4.2
565.0,-2.3,8.91,2.43,4.22
567.0,-2.22,8.95,2.45,4.2
570.0,-2.28,8.92,2.42,4.17
572.0,-2.27,8.84,2.5,4.2
575.0,-2.24,8.7,2.4,4.22
577.0,-2.2,8.74,2.51,4.2
580.0,-2.19,8.65,2.56,4.2
582.0,-2.32,8.57,2.59,4.22
585.0,-2.28,8.63,2.49,4.2
587.0,-2.17,8.57,2.49,4.2
590.0,-2.19,8.53,2.49,4.2
592.0,-2.14,8.52,2.43,4.2
595.0,-2.16,8.56,2.52,4.19
597.0,-2.16,8.51,2.48,4.2
600.0,-2.15,8.56,2.4,4.21
602.0,-2.12,8.54,2.44,4.22
605.0,-2.17,8.64,2.43,4.22
607.0,-2.13,8.54,2.35,4.2
610.0,-2.13,8.62,2.37,4.2
612.0,-2.1,8.64,2.4,4.2
615.0,-2.07,8.66,2.35,4.22
617.0,-2.14,8.67,2.35,4.2
620.0,-2.08,8.74,2.39,4.22
622.0,-2.14,8.67,2.3,4.22
625.0,-2.13,8.69,2.32,4.22
627.0,-2.1,8.77,2.28,4.22
635.0,-2.03,8.75,2.32,4.2
637.0,-2.01,8.75,2.38,4.2
640.0,-2.13,8.63,2.25,4.22
642.0,-2.02,8.73,2.17,4.2
645.0,-2.03,8.7,2.21,4.22
647.0,-2.02,8.67,2.2,4.2
650.0,-1.91,8.66,2.21,4.2
652.0,-1.84,8.68,2.12,4.22
655.0,-1.85,8.59,2.16,4.21
657.0,-1.9,8.59,2.11,4.22
660.0,-1.86,8.55,2.26,4.2
662.0,-1.8,8.58,2.11,4.21
665.0,-1.84,8.53,2.17,4.22
667.0,-1.76,8.49,2.03,4.22
670.0,-1.9,8.49,2.06,4.2
672.0,-1.95,8.43,2.11,4.17
675.0,-1.96,8.43,2.21,4.2
677.0,-1.92,8.39,2.25,4.2
680.0,-1.95,8.44,2.11,4.2
682.0,-1.93,8.39,2.07,4.21
685.0,-1.85,8.42,2.15,4.2
687.0,-1.88,8.38,2.13,4.22
690.0,-1.93,8.36,2.18,4.21
692.0,-1.99,8.39,2.1,4.22
695.0,-1.94,8.39,2.19,4.21
697.0,-2.1,8.36,2.16,4.19
700.0,-2.12,8.44,2.07,4.2
702.0,-2.14,8.46,2.13,4.2
705.0,-2.31,8.41,2.13,4.2
707.0,-2.31,8.42,2.22,4.2
710.0,-2.3,8.44,2.19,4.2
712.0,-2.34,8.37,2.19,4.2
715.0,-2.34,8.46,2.14,4.22
717.0,-2.28,8.47,2.25,4.2
720.0,-2.35,8.45,2.29,4.2
722.0,-2.36,8.46,2.3,4.22
725.0,-2.37,8.5,2.25,4.22
727.0,-2.36,8.56,2.29,4.2
730.0,-2.38,8.59,2.3,4.2
732.0,-2.4,8.62,2.18,4.22
735.0,-2.44,8.62,2.17,4.21
737.0,-2.53,8.61,1.61,4.22
740.0,-2.47,8.75,1.94,4.21
742.0,-2.48,8.62,2.19,4.2
745.0,-2.4,8.61,2.11,4.22
747.0,-2.48,8.55,2.17,4.2
750.0,-2.4,8.61,2.2,4.2
752.0,-2.44,8.52,2.13,4.22
755.0,-2.44,8.47,2.15,4.22
757.0,-2.49,8.5,2.07,4.22
