Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
394.0,-0.81,9.41,2.2,4.19
397.0,-0.82,9.48,2.17,4.17
399.0,-0.79,9.45,2.24,4.17
402.0,-0.86,9.45,2.19,4.17
404.0,-0.84,9.47,2.16,4.18
407.0,-0.8,9.45,2.19,4.17
409.0,-0.86,9.46,2.16,4.19
412.0,-0.86,9.45,2.18,4.17
414.0,-0.84,9.46,2.19,4.17
417.0,-0.88,9.46,2.18,4.17
419.0,-0.89,9.47,2.19,4.17
422.0,-0.87,9.44,2.19,4.19
424.0,-0.95,9.45,2.27,4.17
427.0,-0.93,9.52,2.17,4.14
429.0,-0.87,9.49,2.21,4.17
432.0,-0.91,9.51,2.2,4.19
436.0,-0.93,9.54,2.21,4.17
439.0,-0.95,9.47,2.25,4.19
441.0,-0.83,9.49,2.28,4.17
444.0,-0.86,9.42,2.18,4.17
446.0,-0.87,9.47,2.17,4.19
449.0,-0.85,9.44,2.29,4.17
451.0,-0.91,9.43,2.24,4.17
454.0,-1.01,9.41,2.28,4.14
456.0,-0.96,9.42,2.32,4.17
459.0,-1.01,9.48,2.21,4.17
461.0,-1.07,9.52,2.23,4.19
464.0,-1.07,9.52,2.22,4.19
466.0,-1.17,9.52,2.2,4.17
469.0,-1.18,9.53,2.25,4.18
471.0,-1.08,9.51,2.24,4.17
474.0,-1.24,9.49,2.28,4.2
476.0,-1.2,9.48,2.28,4.19
479.0,-1.2,9.51,2.23,4.19
481.0,-1.15,9.53,2.27,4.17
484.0,-1.19,9.47,2.23,4.17
486.0,-1.21,9.47,2.2,4.17
489.0,-1.2,9.49,2.24,4.17
491.0,-1.23,9.52,2.31,4.17
494.0,-1.26,9.52,2.22,4.17
496.0,-1.24,9.5,2.26,4.17
499.0,-1.28,9.48,2.25,4.17
501.0,-1.22,9.46,2.25,4.17
504.0,-1.26,9.42,2.22,4.18
506.0,-1.21,9.44,2.28,4.17
509.0,-1.21,9.38,2.29,4.17
511.0,-1.24,9.42,2.23,4.17
514.0,-1.27,9.32,2.3,4.19
516.0,-1.23,9.4,2.37,4.17
519.0,-1.3,9.42,2.34,4.19
521.0,-1.29,9.41,2.24,4.2
524.0,-1.29,9.34,2.38,4.19
526.0,-1.31,9.36,2.34,4.19
529.0,-1.36,9.41,2.36,4.15
531.0,-1.27,9.36,2.36,4.17
534.0,-1.33,9.44,2.42,4.17
536.0,-1.41,9.38,2.37,4.17
539.0,-1.41,9.36,2.41,4.19
541.0,-1.31,9.42,2.4,4.19
544.0,-1.43,9.4,2.42,4.19
546.0,-1.5,9.39,2.31,4.19
549.0,-1.49,9.46,2.34,4.17
551.0,-1.47,9.48,2.38,4.19
554.0,-1.55,9.49,2.32,4.17
556.0,-1.51,9.54,2.34,4.14
559.0,-1.54,9.5,2.34,4.17
561.0,-1.57,9.52,2.39,4.17
564.0,-1.6,9.53,2.4,4.17
566.0,-1.54,9.6,2.41,4.2
569.0,-1.58,9.58,2.42,4.17
571.0,-1.58,9.57,2.38,4.17
574.0,-1.52,9.62,2.44,4.19
