Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
12.0,-3.85,3.4,9.2,4.24
12.0,-3.85,3.4,9.2,4.24
15.0,-3.99,3.32,9.27,4.22
17.0,-3.89,3.24,9.43,4.22
20.0,-3.78,3.22,9.47,4.22
22.0,-3.69,3.11,9.49,4.23
25.0,-3.71,3.07,9.64,4.22
27.0,-3.57,2.97,9.75,4.22
30.0,-3.6,2.82,9.64,4.22
32.0,-3.55,2.96,9.62,4.22
35.0,-3.52,2.79,9.5,4.22
37.0,-3.37,2.64,9.6,4.22
40.0,-3.35,2.59,9.43,4.22
42.0,-3.32,2.6,9.31,4.21
45.0,-3.17,2.53,9.38,4.21
47.0,-3.17,2.63,9.31,4.22
50.0,-3.02,2.55,9.36,4.22
52.0,-2.93,2.52,9.32,4.22
55.0,-2.78,2.47,9.24,4.2
57.0,-2.48,2.52,9.25,4.22
65.0,-2.05,2.4,9.17,4.22
67.0,-1.98,2.24,9.2,4.22
70.0,-2.01,2.22,9.18,4.22
72.0,-1.98,2.29,9.16,4.22
75.0,-2.15,2.34,9.2,4.21
77.0,-2.33,2.34,9.32,4.21
80.0,-2.37,2.36,9.4,4.22
82.0,-2.5,2.37,9.39,4.22
85.0,-2.63,2.34,9.34,4.21
87.0,-2.84,2.4,9.35,4.22
90.0,-2.97,2.49,9.32,4.2
92.0,-3.05,2.52,9.2,4.22
95.0,-3.19,2.5,9.13,4.22
97.0,-3.29,2.65,9.08,4.22
100.0,-3.37,2.65,9.17,4.22
102.0,-3.59,2.58,8.91,4.22
105.0,-3.28,3.09,9.29,4.22
107.0,-3.53,2.96,8.66,4.22
110.0,-3.51,2.83,8.74,4.22
112.0,-3.31,2.78,9.19,4.22
115.0,-3.26,2.85,8.91,4.22
117.0,-3.24,2.71,8.31,4.22
120.0,-3.15,2.56,8.42,4.22
122.0,-3.01,2.48,8.62,4.2
125.0,-2.92,2.44,8.6,4.22
127.0,-2.81,2.42,8.36,4.22
130.0,-2.81,2.41,8.34,4.22
132.0,-2.84,2.37,8.3,4.22
135.0,-2.83,2.42,8.32,4.22
137.0,-2.86,2.39,8.32,4.22
140.0,-2.94,2.34,8.27,4.24
142.0,-3.02,2.35,8.11,4.22
145.0,-3.13,2.39,8.09,4.22
147.0,-3.17,2.36,8.01,4.22
150.0,-3.28,2.47,7.97,4.22
152.0,-3.41,2.51,7.94,4.22
155.0,-3.5,2.56,7.99,4.23
157.0,-3.61,2.54,7.92,4.22
160.0,-3.7,2.67,7.91,4.22
162.0,-3.82,2.67,7.94,4.22
164.0,-4.04,2.72,7.94,4.19
167.0,-4.12,2.75,7.97,4.22
169.0,-4.25,2.82,8.0,4.22
172.0,-4.29,2.95,7.97,4.22
174.0,-4.44,2.99,7.96,4.22
177.0,-4.37,3.03,7.94,4.22
179.0,-4.42,3.1,7.91,4.22
182.0,-4.45,3.06,7.94,4.23
184.0,-4.43,3.07,7.89,4.22
187.0,-4.34,3.14,7.92,4.22
189.0,-4.36,3.09,7.91,4.22
192.0,-4.31,3.14,7.89,4.2
194.0,-4.22,3.14,7.91,4.22
197.0,-4.19,2.98,7.83,4.22
199.0,-4.09,3.04,7.91,4.22
202.0,-4.06,3.1,7.93,4.22
204.0,-3.98,3.05,8.01,4.22
207.0,-3.86,3.05,8.03,4.22
209.0,-3.8,3.08,8.08,4.2
212.0,-3.76,3.08,8.06,4.22
214.0,-3.67,3.16,8.13,4.22
217.0,-3.67,3.07,8.21,4.22
219.0,-3.54,3.03,8.2,4.22
222.0,-3.44,3.08,8.23,4.22
224.0,-3.34,3.04,8.3,4.22
227.0,-3.37,3.05,8.32,4.22
229.0,-3.23,3.07,8.3,4.22
232.0,-3.13,3.06,8.25,4.21
234.0,-3.07,3.02,8.27,4.22
237.0,-3.03,3.03,8.31,4.22
247.0,-3.03,3.18,8.55,4.22
249.0,-2.93,3.15,8.6,4.22
252.0,-3.0,3.13,8.58,4.2
254.0,-2.94,3.09,8.56,4.22
257.0,-2.9,3.16,8.62,4.22
259.0,-2.89,3.08,8.59,4.22
262.0,-2.86,3.15,8.64,4.22
264.0,-2.85,3.12,8.58,4.22
267.0,-2.88,3.1,8.54,4.17
269.0,-2.81,3.16,8.57,4.22
272.0,-2.86,3.15,8.61,4.23
274.0,-2.84,3.17,8.76,4.22
277.0,-2.89,3.16,8.69,4.22
279.0,-2.86,3.11,8.79,4.22
282.0,-2.87,3.17,8.87,4.22
284.0,-2.91,3.18,8.91,4.22
287.0,-3.02,3.18,8.97,4.22
289.0,-2.97,3.19,8.96,4.22
292.0,-3.0,3.19,8.91,4.22
294.0,-2.92,3.07,8.87,4.18
297.0,-2.9,3.11,8.88,4.22
299.0,-2.88,3.17,8.95,4.22
302.0,-2.84,3.03,8.88,4.21
304.0,-2.9,3.05,8.93,4.22
307.0,-2.89,3.01,8.92,4.22
309.0,-2.81,3.08,9.07,4.22
312.0,-2.84,3.12,9.04,4.22
314.0,-2.91,3.18,9.04,4.2
317.0,-2.97,3.22,9.01,4.22
319.0,-3.02,3.2,9.06,4.22
322.0,-3.08,3.21,9.19,4.22
324.0,-3.22,3.3,9.27,4.2
327.0,-3.24,3.25,9.33,4.22
329.0,-3.27,3.31,9.24,4.22
332.0,-3.34,3.29,9.28,4.22
334.0,-3.34,3.32,9.16,4.22
337.0,-3.35,3.34,9.11,4.22
339.0,-3.32,3.39,9.13,4.22
342.0,-3.38,3.42,9.03,4.22
344.0,-3.43,3.45,9.04,4.22
347.0,-3.4,3.51,9.1,4.22
349.0,-3.42,3.51,9.08,4.22
352.0,-3.5,3.53,9.06,4.22
354.0,-3.52,3.53,9.07,4.22
357.0,-3.54,3.54,9.03,4.23
359.0,-3.54,3.55,8.97,4.22
362.0,-3.55,3.48,8.87,4.22
364.0,-3.54,3.4,9.0,4.22
367.0,-3.49,3.42,8.93,4.21
369.0,-3.5,3.43,8.95,4.17
372.0,-3.45,3.38,8.84,4.22
374.0,-3.42,3.37,8.76,4.23
377.0,-3.44,3.37,8.73,4.2
379.0,-3.42,3.36,8.75,4.22
382.0,-3.44,3.37,8.68,4.22
384.0,-3.45,3.42,8.64,4.22
387.0,-3.47,3.39,8.61,4.22
389.0,-3.4,3.43,8.57,4.22
392.0,-3.45,3.42,8.6,4.22
394.0,-3.42,3.46,8.61,4.22
