3, 0.11, 0.01, 9.92, 3.63
6, 0.05, 0.02, 9.93, 3.65
8, 0.06, -0.04, 9.89, 3.63
11, 0.07, 0.00, 9.96, 3.63
13, 0.07, -0.04, 9.92, 3.63
16, 0.10, -0.06, 9.98, 3.63
18, 0.14, -0.00, 9.90, 3.63
21, 0.14, 0.08, 9.91, 3.63
23, 0.10, -0.03, 10.00, 3.63
26, 0.03, 0.04, 9.93, 3.65
28, 0.05, -0.00, 9.94, 3.65
31, 0.10, -0.06, 9.91, 3.63
33, 0.09, 0.00, 9.89, 3.63
36, 0.08, -0.07, 9.82, 3.63
38, 0.02, -0.01, 9.93, 3.63
41, 0.10, -0.03, 9.92, 3.62
43, 0.04, -0.05, 10.00, 3.63
46, 0.05, 0.01, 9.95, 3.65
48, 0.01, -0.01, 9.97, 3.63
51, 0.06, -0.05, 9.90, 3.63
53, 0.05, 0.01, 9.91, 3.63
56, 0.11, 0.02, 9.94, 3.63
58, 0.07, -0.02, 9.89, 3.63
61, 0.03, -0.03, 9.93, 3.65
63, 0.04, 0.02, 9.88, 3.63
66, 0.10, -0.00, 9.86, 3.62
68, 0.08, 0.01, 9.95, 3.63
71, 0.04, 0.01, 9.99, 3.63
73, 0.12, 0.02, 9.92, 3.63
76, 0.10, -0.04, 9.90, 3.63
78, 0.02, 0.00, 9.99, 3.63
81, 0.01, -0.02, 9.85, 3.63
83, 0.07, -0.08, 9.94, 3.65
86, 0.06, 0.00, 9.90, 3.65
88, 0.09, -0.01, 9.96, 3.63
91, 0.10, -0.04, 9.94, 3.63
93, 0.02, -0.02, 9.94, 3.63
96, 0.03, 0.06, 9.83, 3.65
98, 0.11, 0.00, 9.91, 3.63
100, 0.04, -0.08, 9.91, 3.63
103, 0.03, -0.03, 9.94, 3.63
105, 0.05, -0.00, 9.93, 3.65
108, 0.04, 0.02, 9.94, 3.63
110, 0.07, -0.00, 10.02, 3.62
113, 0.08, 0.08, 9.90, 3.63
115, 0.13, 0.03, 9.96, 3.63
118, 0.07, -0.01, 9.95, 3.63
120, 0.10, -0.06, 9.95, 3.63
123, 0.16, 0.03, 9.87, 3.65
125, 0.04, -0.05, 9.89, 3.63
128, 0.09, 0.04, 9.93, 3.65
130, 0.12, -0.08, 9.81, 3.63
133, 0.09, 0.00, 9.93, 3.63
135, 0.14, -0.04, 9.84, 3.63
138, 0.06, -0.01, 9.94, 3.63
140, 0.06, 0.06, 9.85, 3.63
143, 0.01, -0.01, 9.92, 3.60
