Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
12.0,-1.17,9.65,2.53,4.24
12.0,-1.17,9.65,2.53,4.24
14.0,-1.23,9.72,2.53,4.24
17.0,-1.39,9.98,2.63,4.22
19.0,-1.49,9.91,2.22,4.25
22.0,-1.49,9.83,2.74,4.23
24.0,-1.48,9.84,2.62,4.24
27.0,-1.5,9.96,2.79,4.24
29.0,-1.56,9.92,2.49,4.23
31.0,-1.55,9.72,2.64,4.24
34.0,-1.46,9.9,2.5,4.22
36.0,-1.43,9.68,2.83,4.24
39.0,-1.43,9.66,2.76,4.24
41.0,-1.36,9.71,2.83,4.24
44.0,-1.32,9.73,2.94,4.24
46.0,-1.33,9.78,2.94,4.24
49.0,-1.18,9.64,2.89,4.25
51.0,-1.07,9.63,3.09,4.24
54.0,-1.07,9.53,2.9,4.22
56.0,-0.96,9.57,3.02,4.22
59.0,-1.0,9.43,2.89,4.22
61.0,-1.01,9.34,2.82,4.22
64.0,-0.98,9.37,2.92,4.23
66.0,-1.05,9.31,2.79,4.23
69.0,-0.99,9.27,2.75,4.24
71.0,-0.95,9.17,2.79,4.23
74.0,-0.95,9.19,2.83,4.27
76.0,-0.86,9.19,2.69,4.23
79.0,-0.72,9.19,2.73,4.22
81.0,-0.66,9.3,2.64,4.24
84.0,-0.63,9.24,2.68,4.24
86.0,-0.71,9.25,2.65,4.24
89.0,-0.78,9.27,2.79,4.24
91.0,-0.79,9.28,2.72,4.24
94.0,-0.87,9.25,2.74,4.22
96.0,-0.87,9.3,2.71,4.25
99.0,-1.01,9.25,2.72,4.24
101.0,-0.97,9.19,2.71,4.23
104.0,-1.02,9.28,2.58,4.24
106.0,-1.06,9.24,2.65,4.23
109.0,-1.04,9.29,2.74,4.24
111.0,-1.06,9.36,2.66,4.24
114.0,-1.14,9.34,2.61,4.24
116.0,-1.18,9.41,2.7,4.22
119.0,-1.14,9.39,2.74,4.25
121.0,-1.21,9.51,2.69,4.23
124.0,-1.18,9.48,2.66,4.24
126.0,-1.17,9.44,2.63,4.24
129.0,-1.25,9.45,2.64,4.24
131.0,-1.2,9.43,2.52,4.22
134.0,-1.34,9.42,2.56,4.23
136.0,-1.27,9.4,2.49,4.22
139.0,-1.35,9.47,2.55,4.24
141.0,-1.38,9.48,2.41,4.24
144.0,-1.39,9.5,2.5,4.22
146.0,-1.41,9.52,2.56,4.24
149.0,-1.45,9.53,2.47,4.25
151.0,-1.39,9.56,2.4,4.22
154.0,-1.43,9.58,2.38,4.24
156.0,-1.36,9.59,2.41,4.23
159.0,-1.37,9.57,2.38,4.22
161.0,-1.39,9.57,2.3,4.21
164.0,-1.36,9.57,2.31,4.22
166.0,-1.33,9.52,2.31,4.22
169.0,-1.32,9.57,2.33,4.22
171.0,-1.23,9.64,2.4,4.22
174.0,-1.22,9.56,2.27,4.24
176.0,-1.23,9.59,2.26,4.24
179.0,-1.15,9.67,2.25,4.22
189.0,-1.23,9.65,2.18,4.22
191.0,-1.27,9.61,2.25,4.25
194.0,-1.25,9.64,2.28,4.24
196.0,-1.34,9.58,2.29,4.24
199.0,-1.24,9.58,2.27,4.22
201.0,-1.25,9.56,2.25,4.22
204.0,-1.28,9.61,2.24,4.23
206.0,-1.25,9.69,2.35,4.23
209.0,-1.28,9.64,2.24,4.24
211.0,-1.2,9.61,2.22,4.22
214.0,-1.25,9.64,2.25,4.25
216.0,-1.25,9.61,2.16,4.24
219.0,-1.23,9.64,2.22,4.23
221.0,-1.21,9.58,2.28,4.22
224.0,-1.24,9.59,2.24,4.22
226.0,-1.27,9.55,2.24,4.24
229.0,-1.25,9.57,2.28,4.22
231.0,-1.22,9.47,2.27,4.22
234.0,-1.19,9.48,2.29,4.24
236.0,-1.29,9.49,2.41,4.22
239.0,-1.25,9.53,2.38,4.22
241.0,-1.22,9.46,2.35,4.22
244.0,-1.14,9.47,2.31,4.22
246.0,-1.21,9.45,2.34,4.24
249.0,-1.21,9.47,2.39,4.23
251.0,-1.17,9.49,2.34,4.23
254.0,-1.14,9.48,2.36,4.22
256.0,-1.19,9.48,2.33,4.24
259.0,-1.08,9.39,2.37,4.24
261.0,-1.1,9.35,2.2,4.24
264.0,-1.15,9.44,2.17,4.24
266.0,-1.12,9.47,2.21,4.22
269.0,-1.15,9.5,2.15,4.24
271.0,-1.19,9.47,2.2,4.23
274.0,-1.12,9.42,2.28,4.24
276.0,-1.14,9.38,2.22,4.23
279.0,-1.09,9.37,2.23,4.25
281.0,-1.06,9.34,2.22,4.22
284.0,-1.08,9.4,2.22,4.22
