Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
13.0,0.43,9.21,3.7,4.22
13.0,0.43,9.21,3.7,4.22
16.0,0.31,9.27,3.53,4.24
18.0,0.05,9.37,3.27,4.22
21.0,-0.17,9.42,3.04,4.22
23.0,-0.23,9.37,2.85,4.22
26.0,-0.47,9.35,2.74,4.25
28.0,-0.54,9.31,2.54,4.22
31.0,-0.67,9.39,2.38,4.25
33.0,-0.86,9.48,2.35,4.23
36.0,-0.94,9.61,2.37,4.24
38.0,-0.99,9.61,2.15,4.24
41.0,-1.21,9.83,2.12,4.25
43.0,-1.23,9.65,2.05,4.24
46.0,-1.39,9.67,1.97,4.24
48.0,-1.33,9.68,2.0,4.24
51.0,-1.25,9.63,2.15,4.23
53.0,-1.21,9.63,2.15,4.25
56.0,-1.13,9.61,1.92,4.23
58.0,-0.94,9.39,2.21,4.23
61.0,-0.89,9.52,2.11,4.25
63.0,-0.75,9.7,2.39,4.23
66.0,-0.94,9.51,2.35,4.22
68.0,-0.6,9.39,2.12,4.24
71.0,-0.5,9.29,2.29,4.22
73.0,-0.45,9.51,1.81,4.24
76.0,-0.39,9.56,1.61,4.22
78.0,-0.32,9.44,1.94,4.24
81.0,-0.45,9.38,1.45,4.22
83.0,-0.78,9.11,1.3,4.22
86.0,-0.73,9.07,1.25,4.24
88.0,-0.78,9.24,1.38,4.22
91.0,-0.74,9.11,1.25,4.24
93.0,-0.84,9.11,1.38,4.23
96.0,-0.72,9.16,1.59,4.23
98.0,-0.63,9.25,1.59,4.22
101.0,-0.58,9.34,1.67,4.24
103.0,-0.54,9.22,1.64,4.25
106.0,-0.39,9.52,1.36,4.22
108.0,-0.37,9.54,1.26,4.24
111.0,-0.4,9.52,1.42,4.24
113.0,-0.46,9.43,1.57,4.22
116.0,-0.49,9.53,1.58,4.24
118.0,-0.58,9.56,1.61,4.22
121.0,-0.51,9.62,1.59,4.24
123.0,-0.56,9.53,1.52,4.23
126.0,-0.49,9.55,1.6,4.24
128.0,-0.52,9.58,1.57,4.22
131.0,-0.54,9.57,1.7,4.25
133.0,-0.5,9.57,1.79,4.23
136.0,-0.5,9.44,1.8,4.23
138.0,-0.38,9.65,2.07,4.24
141.0,-0.28,9.6,1.96,4.25
143.0,-0.25,9.4,1.7,4.25
146.0,-0.11,9.37,2.0,4.25
148.0,0.03,9.36,2.17,4.22
151.0,0.03,9.38,2.33,4.23
153.0,0.16,9.43,2.36,4.24
156.0,0.11,9.43,2.49,4.24
158.0,0.23,9.47,2.56,4.22
160.0,0.38,9.47,2.76,4.23
163.0,0.25,9.43,2.58,4.24
166.0,0.24,9.37,2.51,4.24
168.0,0.1,9.29,2.52,4.24
170.0,0.09,9.42,2.54,4.24
173.0,0.07,9.18,2.55,4.24
175.0,0.05,9.29,2.66,4.22
178.0,0.01,9.29,2.55,4.23
180.0,-0.04,9.37,2.31,4.23
183.0,-0.11,9.38,2.41,4.22
185.0,-0.16,9.44,2.35,4.24
188.0,-0.32,9.39,2.17,4.24
190.0,-0.44,9.43,2.01,4.24
193.0,-0.37,9.71,2.36,4.24
195.0,-0.43,9.76,2.12,4.24
198.0,-0.44,9.87,2.06,4.23
200.0,-0.53,9.98,2.0,4.24
203.0,-0.56,9.92,1.97,4.24
205.0,-0.56,9.92,2.02,4.24
208.0,-0.54,9.75,1.98,4.25
210.0,-0.49,9.79,1.88,4.24
213.0,-0.45,9.73,1.79,4.22
223.0,-0.46,9.61,1.91,4.22
225.0,-0.43,9.58,1.88,4.22
228.0,-0.45,9.51,1.76,4.24
230.0,-0.47,9.62,1.69,4.23
233.0,-0.45,9.64,1.74,4.25
235.0,-0.53,9.58,1.79,4.24
238.0,-0.47,9.63,1.84,4.24
240.0,-0.46,9.53,1.88,4.25
243.0,-0.34,9.56,1.83,4.25
245.0,-0.25,9.51,1.87,4.24
248.0,-0.17,9.49,1.98,4.22
250.0,-0.09,9.47,2.06,4.23
253.0,0.02,9.5,2.13,4.24
255.0,0.12,9.45,2.29,4.23
258.0,0.14,9.45,2.33,4.22
260.0,0.15,9.48,2.38,4.22
263.0,0.13,9.51,2.28,4.23
265.0,0.12,9.53,2.36,4.25
268.0,0.09,9.59,2.28,4.23
270.0,-0.03,9.63,2.28,4.22
273.0,-0.05,9.55,2.29,4.24
275.0,-0.09,9.57,2.25,4.23
278.0,-0.06,9.6,2.22,4.23
280.0,-0.09,9.56,2.28,4.22
283.0,-0.16,9.51,2.24,4.22
285.0,-0.15,9.54,2.23,4.22
288.0,-0.18,9.58,2.23,4.22
290.0,-0.1,9.52,2.34,4.25
293.0,-0.07,9.45,2.35,4.24
295.0,0.05,9.5,2.17,4.23
298.0,0.08,9.54,2.26,4.23
300.0,0.03,9.63,2.2,4.24
303.0,-0.06,9.58,2.28,4.22
305.0,-0.05,9.64,2.22,4.24
308.0,-0.05,9.64,2.16,4.24
310.0,-0.16,9.68,2.03,4.22
313.0,-0.15,9.63,2.03,4.24
315.0,-0.09,9.67,2.02,4.23
318.0,-0.12,9.6,2.01,4.24
320.0,-0.16,9.51,2.0,4.24
323.0,-0.16,9.54,1.94,4.22
325.0,-0.12,9.47,1.91,4.25
328.0,-0.11,9.48,1.88,4.24
330.0,-0.1,9.56,2.01,4.23
333.0,-0.1,9.58,1.88,4.25
335.0,-0.19,9.61,1.92,4.24
338.0,-0.16,9.67,1.92,4.22
