Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
13.0,-1.42,9.88,0.87,4.25
13.0,-1.42,9.88,0.87,4.25
15.0,-1.33,9.84,0.86,4.25
18.0,-1.3,9.78,0.94,4.27
20.0,-1.34,9.79,0.88,4.25
23.0,-1.3,9.68,0.92,4.25
25.0,-1.3,9.72,0.98,4.25
28.0,-1.29,9.72,0.9,4.24
30.0,-1.33,9.72,0.89,4.25
33.0,-1.34,9.71,1.03,4.24
35.0,-1.37,9.71,1.01,4.25
38.0,-1.37,9.67,1.08,4.24
40.0,-1.38,9.7,1.05,4.24
43.0,-1.36,9.81,1.2,4.25
45.0,-1.45,9.7,1.14,4.24
48.0,-1.41,9.77,1.15,4.24
50.0,-1.48,9.77,1.09,4.25
53.0,-1.44,9.79,1.06,4.25
55.0,-1.43,9.75,1.0,4.25
58.0,-1.53,9.66,0.97,4.25
60.0,-1.46,9.69,0.98,4.25
63.0,-1.47,9.58,1.03,4.25
65.0,-1.46,9.59,0.9,4.24
68.0,-1.41,9.53,0.88,4.25
70.0,-1.36,9.58,0.8,4.23
73.0,-1.39,9.59,0.89,4.27
75.0,-1.34,9.65,0.82,4.25
78.0,-1.37,9.61,0.9,4.2
80.0,-1.41,9.64,0.96,4.25
83.0,-1.25,9.66,1.11,4.25
85.0,-1.3,9.66,1.01,4.25
88.0,-1.3,9.69,0.9,4.25
90.0,-1.45,9.61,0.94,4.24
93.0,-1.36,9.63,1.0,4.27
95.0,-1.43,9.64,1.01,4.24
98.0,-1.48,9.67,0.88,4.25
100.0,-1.55,9.72,0.81,4.24
103.0,-1.61,9.66,0.85,4.25
105.0,-1.65,9.61,0.9,4.24
108.0,-1.7,9.55,0.89,4.23
110.0,-1.68,9.61,0.94,4.25
113.0,-1.76,9.7,0.77,4.25
115.0,-1.78,9.64,0.86,4.27
118.0,-1.68,9.7,0.9,4.24
120.0,-1.76,9.76,0.95,4.25
123.0,-1.78,9.84,0.86,4.24
125.0,-1.69,9.8,0.86,4.25
128.0,-1.82,9.82,0.87,4.27
130.0,-1.75,9.74,0.88,4.25
133.0,-1.82,9.72,0.91,4.24
135.0,-1.8,9.77,0.87,4.24
138.0,-1.95,9.83,0.86,4.25
140.0,-1.79,9.67,0.97,4.24
143.0,-1.73,9.73,0.98,4.24
145.0,-1.71,9.88,0.79,4.24
148.0,-1.79,9.83,0.57,4.25
150.0,-1.78,9.82,0.6,4.24
153.0,-1.79,9.8,0.8,4.24
155.0,-1.74,9.73,0.86,4.25
158.0,-1.76,9.69,0.86,4.24
160.0,-1.7,9.64,0.84,4.25
163.0,-1.63,9.68,0.85,4.24
165.0,-1.57,9.69,0.86,4.25
168.0,-1.55,9.67,0.83,4.22
173.0,-1.52,9.69,0.81,4.25
175.0,-1.55,9.65,0.83,4.25
178.0,-1.56,9.61,0.86,4.27
180.0,-1.49,9.65,0.84,4.21
183.0,-1.61,9.67,0.8,4.25
185.0,-1.58,9.63,0.74,4.25
188.0,-1.55,9.64,0.77,4.25
190.0,-1.58,9.67,0.8,4.25
193.0,-1.56,9.59,0.74,4.25
195.0,-1.51,9.64,0.83,4.27
198.0,-1.52,9.62,0.8,4.25
200.0,-1.52,9.7,0.85,4.25
203.0,-1.56,9.7,0.78,4.24
205.0,-1.49,9.73,0.77,4.25
208.0,-1.47,9.82,0.79,4.25
210.0,-1.51,9.51,0.99,4.24
213.0,-1.44,9.86,0.87,4.25
215.0,-1.42,9.85,0.74,4.25
218.0,-1.54,9.76,0.71,4.25
220.0,-1.5,9.7,0.77,4.25
223.0,-1.48,9.69,0.76,4.25
225.0,-1.61,9.65,0.74,4.25
228.0,-1.63,9.66,0.78,4.25
230.0,-1.69,9.76,0.78,4.25
233.0,-1.71,9.7,0.7,4.25
235.0,-1.73,9.67,0.73,4.24
238.0,-1.71,9.68,0.74,4.24
240.0,-1.59,9.7,0.74,4.25
243.0,-1.59,9.8,0.77,4.25
253.0,-1.55,9.7,0.76,4.25
255.0,-1.58,9.8,0.79,4.25
258.0,-1.59,9.74,0.81,4.25
260.0,-1.64,9.72,0.76,4.25
263.0,-1.57,9.74,0.77,4.25
265.0,-1.65,9.72,0.75,4.25
268.0,-1.61,9.7,0.82,4.27
270.0,-1.54,9.63,0.75,4.25
273.0,-1.53,9.62,0.7,4.25
275.0,-1.55,9.62,0.76,4.25
278.0,-1.6,9.59,0.77,4.25
280.0,-1.58,9.63,0.68,4.24
283.0,-1.59,9.71,0.75,4.24
285.0,-1.49,9.62,0.84,4.25
288.0,-1.52,9.74,0.77,4.25
290.0,-1.48,9.81,0.82,4.25
293.0,-1.54,9.67,0.75,4.25
295.0,-1.49,9.74,0.86,4.25
298.0,-1.57,9.76,0.85,4.25
300.0,-1.6,9.71,0.77,4.25
303.0,-1.54,9.75,0.81,4.25
305.0,-1.6,9.73,0.79,4.24
308.0,-1.55,9.76,0.82,4.24
310.0,-1.51,9.7,0.78,4.24
313.0,-1.59,9.74,0.76,4.25
315.0,-1.51,9.68,0.88,4.27
318.0,-1.45,9.62,0.91,4.24
320.0,-1.56,9.67,0.86,4.25
323.0,-1.53,9.6,0.8,4.25
325.0,-1.59,9.57,0.85,4.24
328.0,-1.55,9.62,0.85,4.27
330.0,-1.7,9.73,0.9,4.25
333.0,-1.65,9.63,0.88,4.27
335.0,-1.65,9.66,0.92,4.24
338.0,-1.63,9.65,0.87,4.25
340.0,-1.68,9.65,0.91,4.24
343.0,-1.7,9.71,0.88,4.24
345.0,-1.74,9.65,0.86,4.27
348.0,-1.62,9.62,0.84,4.25
350.0,-1.66,9.61,0.91,4.25
353.0,-1.57,9.65,0.92,4.24
355.0,-1.65,9.68,0.88,4.25
358.0,-1.64,9.66,0.89,4.25
360.0,-1.57,9.66,0.88,4.25
363.0,-1.63,9.66,0.91,4.25
365.0,-1.61,9.69,0.85,4.25
368.0,-1.61,9.64,0.87,4.24
370.0,-1.67,9.63,0.91,4.25
373.0,-1.57,9.64,0.86,4.22
375.0,-1.55,9.66,0.81,4.27
378.0,-1.55,9.67,0.82,4.27
380.0,-1.56,9.64,0.83,4.25
383.0,-1.57,9.62,0.84,4.25
385.0,-1.51,9.63,0.83,4.22
388.0,-1.51,9.66,0.83,4.24
390.0,-1.48,9.64,0.9,4.24
393.0,-1.55,9.64,0.85,4.24
395.0,-1.46,9.62,0.79,4.24
398.0,-1.5,9.56,0.83,4.25
400.0,-1.51,9.7,0.82,4.25
403.0,-1.44,9.65,0.79,4.27
405.0,-1.57,9.63,0.82,4.22
408.0,-1.51,9.67,0.76,4.25
410.0,-1.54,9.68,0.72,4.25
413.0,-1.58,9.67,0.75,4.24
415.0,-1.55,9.6,0.75,4.25
418.0,-1.57,9.69,0.7,4.27
420.0,-1.54,9.73,0.71,4.24
423.0,-1.6,9.71,0.82,4.25
425.0,-1.58,9.66,0.79,4.25
