Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
14.0,-0.12,9.36,4.71,4.22
14.0,-0.12,9.36,4.71,4.22
17.0,-0.04,9.36,4.37,4.25
19.0,0.01,9.38,3.92,4.27
22.0,-0.25,9.34,3.72,4.25
24.0,-0.56,9.3,3.68,4.25
27.0,-0.82,9.18,3.75,4.27
29.0,-0.85,9.29,3.83,4.24
32.0,-0.89,9.31,3.97,4.25
34.0,-1.03,9.23,3.85,4.24
37.0,-0.83,9.31,3.71,4.27
39.0,-0.74,9.24,3.7,4.25
42.0,-0.68,9.2,3.74,4.25
44.0,-0.65,9.13,3.9,4.25
47.0,-0.61,9.08,4.09,4.25
49.0,-0.71,8.99,4.21,4.25
52.0,-0.65,9.04,4.28,4.24
54.0,-0.68,9.06,4.22,4.25
57.0,-0.74,9.09,4.17,4.25
59.0,-0.74,9.09,4.21,4.25
62.0,-0.64,9.07,4.06,4.27
64.0,-0.64,9.09,4.09,4.25
67.0,-0.67,9.02,3.95,4.24
69.0,-0.68,8.93,3.93,4.25
72.0,-0.58,8.88,3.93,4.27
74.0,-0.61,8.88,3.87,4.24
77.0,-0.54,8.86,3.87,4.22
79.0,-0.44,8.87,3.77,4.24
82.0,-0.41,8.85,3.59,4.24
84.0,-0.29,8.86,3.51,4.24
87.0,-0.11,8.8,3.36,4.24
89.0,-0.01,8.87,3.46,4.25
92.0,0.1,8.78,3.51,4.25
94.0,0.04,8.79,3.38,4.25
97.0,0.02,8.82,3.38,4.25
99.0,-0.03,8.79,3.44,4.25
102.0,-0.11,8.8,3.54,4.24
104.0,-0.04,8.77,3.54,4.25
107.0,-0.06,8.8,3.58,4.24
109.0,-0.07,8.83,3.56,4.25
112.0,-0.06,8.78,3.54,4.25
114.0,-0.02,8.76,3.54,4.24
117.0,-0.09,8.82,3.54,4.25
119.0,-0.13,8.8,3.57,4.24
122.0,-0.14,8.92,3.72,4.25
124.0,-0.19,9.02,3.7,4.25
127.0,-0.21,8.94,3.78,4.24
129.0,-0.32,9.01,3.68,4.25
132.0,-0.3,9.04,3.57,4.25
134.0,-0.32,9.03,3.5,4.25
137.0,-0.19,9.01,3.34,4.25
139.0,-0.25,8.98,3.29,4.24
142.0,-0.07,8.94,3.37,4.27
144.0,0.03,9.04,3.05,4.25
147.0,0.14,9.09,3.18,4.25
149.0,0.32,9.07,3.2,4.27
152.0,0.41,9.05,3.28,4.24
154.0,0.53,9.06,3.32,4.23
157.0,0.56,9.02,3.35,4.25
159.0,0.41,9.05,3.33,4.25
162.0,0.38,9.07,3.34,4.25
164.0,0.34,9.07,3.31,4.25
167.0,0.2,9.1,3.26,4.25
169.0,0.3,9.03,3.26,4.25
172.0,0.31,9.02,3.22,4.25
174.0,0.44,9.01,3.24,4.24
177.0,0.57,9.02,3.25,4.24
179.0,0.73,8.97,3.29,4.25
182.0,0.75,9.0,3.38,4.24
184.0,0.84,9.08,3.42,4.25
187.0,0.66,9.19,3.58,4.25
189.0,0.58,9.24,3.55,4.25
192.0,0.46,9.33,3.49,4.24
194.0,0.29,9.35,3.5,4.25
197.0,0.15,9.39,3.46,4.25
199.0,-0.05,9.34,3.53,4.25
202.0,-0.04,9.25,3.5,4.24
204.0,-0.07,9.21,3.52,4.25
207.0,-0.08,9.31,3.68,4.27
209.0,-0.06,9.37,3.97,4.24
212.0,-0.0,9.43,3.95,4.25
214.0,-0.04,9.38,3.6,4.25
217.0,-0.19,9.48,3.68,4.25
219.0,-0.28,9.64,3.82,4.25
222.0,-0.33,9.73,3.69,4.25
224.0,-0.43,9.64,3.52,4.24
227.0,-0.41,9.48,3.48,4.25
229.0,-0.41,9.49,3.53,4.25
232.0,-0.57,9.43,3.72,4.25
234.0,-0.66,9.42,3.83,4.25
237.0,-0.65,9.39,3.79,4.24
239.0,-0.57,9.31,3.66,4.25
242.0,-0.62,9.24,3.61,4.25
249.0,-0.89,9.27,3.68,4.25
252.0,-0.95,9.36,3.84,4.25
254.0,-0.91,9.26,3.55,4.25
257.0,-0.86,9.34,3.45,4.2
259.0,-0.79,9.34,3.55,4.27
262.0,-0.69,9.26,3.41,4.25
264.0,-0.57,9.24,3.36,4.25
267.0,-0.59,9.23,3.33,4.25
269.0,-0.65,9.3,3.86,4.27
272.0,-0.84,9.47,3.99,4.25
274.0,-1.2,9.49,3.88,4.25
277.0,-1.37,9.59,3.65,4.25
279.0,-1.25,9.43,3.29,4.25
282.0,-1.08,9.37,3.07,4.25
284.0,-0.68,9.2,2.93,4.24
287.0,-0.4,9.19,2.97,4.25
289.0,-0.09,9.04,2.95,4.25
292.0,-0.02,9.14,2.99,4.25
294.0,0.03,9.13,3.25,4.25
297.0,0.0,9.24,3.27,4.25
299.0,-0.13,9.39,3.44,4.25
302.0,-0.4,9.47,3.33,4.25
304.0,-0.5,9.59,3.45,4.25
307.0,-0.59,9.68,3.51,4.24
309.0,-0.61,9.45,3.26,4.25
312.0,-0.57,9.27,3.14,4.25
314.0,-0.59,9.11,2.95,4.25
317.0,-0.52,9.02,3.0,4.24
319.0,-0.67,8.96,3.21,4.25
322.0,-0.66,9.03,3.47,4.25
