Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
12.0,-8.3,5.12,3.07,4.25
12.0,-8.3,5.12,3.07,4.25
15.0,-7.91,5.01,2.93,4.25
17.0,-7.85,4.38,2.5,4.25
20.0,-7.64,4.34,2.85,4.25
22.0,-7.8,4.38,2.73,4.25
25.0,-8.05,4.3,2.67,4.25
27.0,-8.32,4.23,2.57,4.22
30.0,-8.34,4.48,2.77,4.25
32.0,-8.29,4.31,2.8,4.25
35.0,-8.09,4.22,3.27,4.27
37.0,-7.81,4.26,3.01,4.25
40.0,-7.33,4.59,2.66,4.25
42.0,-7.12,4.79,2.88,4.27
45.0,-7.41,4.47,3.18,4.25
47.0,-7.41,4.57,3.47,4.27
50.0,-7.57,4.74,3.02,4.25
52.0,-7.64,4.87,2.93,4.23
55.0,-7.69,4.85,3.14,4.24
57.0,-7.81,4.36,3.46,4.25
60.0,-7.52,4.69,3.74,4.25
62.0,-7.3,4.91,3.41,4.25
65.0,-7.47,4.77,2.74,4.25
67.0,-7.49,4.54,2.76,4.25
70.0,-7.38,4.63,2.74,4.25
72.0,-7.57,4.04,2.45,4.25
75.0,-6.99,4.63,3.47,4.25
77.0,-7.27,4.43,2.72,4.25
80.0,-7.22,4.33,2.11,4.25
82.0,-7.12,4.63,2.46,4.27
85.0,-6.78,5.03,2.92,4.25
87.0,-6.61,5.11,3.05,4.25
90.0,-6.55,5.0,3.01,4.25
92.0,-6.44,4.93,2.82,4.25
95.0,-6.32,4.68,2.59,4.25
97.0,-6.22,4.62,2.49,4.25
100.0,-6.05,4.76,2.47,4.25
102.0,-5.82,4.83,2.6,4.25
105.0,-5.62,4.87,2.7,4.25
107.0,-5.57,4.88,2.57,4.25
110.0,-5.59,4.85,2.48,4.25
112.0,-5.68,4.74,2.4,4.24
115.0,-5.79,4.68,2.44,4.25
117.0,-5.87,4.56,2.63,4.25
120.0,-5.99,4.49,2.73,4.25
122.0,-6.06,4.42,2.65,4.25
125.0,-6.14,4.38,2.62,4.25
127.0,-6.21,4.4,2.6,4.25
130.0,-6.27,4.39,2.43,4.19
132.0,-6.38,4.45,2.41,4.24
135.0,-6.35,4.47,2.57,4.24
137.0,-5.99,4.69,4.02,4.25
140.0,-6.26,4.53,3.23,4.25
142.0,-6.22,4.74,2.57,4.25
145.0,-6.17,4.66,2.95,4.27
147.0,-6.14,4.72,2.85,4.27
150.0,-5.97,4.58,3.3,4.27
152.0,-5.93,4.52,3.39,4.25
155.0,-5.85,4.44,3.5,4.23
157.0,-5.83,4.38,3.75,4.24
160.0,-5.83,4.35,3.79,4.27
162.0,-5.89,4.33,3.94,4.25
165.0,-5.81,4.27,4.02,4.25
167.0,-5.79,4.29,4.15,4.25
170.0,-5.85,4.37,4.37,4.24
172.0,-5.71,4.52,4.43,4.25
175.0,-5.64,4.55,4.38,4.27
177.0,-5.71,4.69,4.08,4.25
180.0,-5.81,4.67,4.13,4.23
182.0,-6.02,4.73,4.25,4.25
192.0,-6.97,4.99,4.33,4.25
195.0,-7.09,4.99,4.16,4.25
197.0,-7.26,5.08,4.09,4.24
200.0,-7.21,5.16,4.02,4.25
202.0,-7.15,5.06,3.97,4.25
205.0,-7.17,5.08,3.86,4.27
207.0,-7.0,4.98,3.72,4.25
210.0,-7.0,5.07,3.6,4.25
212.0,-6.82,5.08,3.68,4.27
215.0,-6.76,5.09,3.62,4.25
217.0,-6.69,5.04,3.6,4.25
220.0,-6.67,5.06,3.65,4.25
222.0,-6.58,5.12,3.65,4.25
225.0,-6.48,5.01,3.76,4.25
227.0,-6.44,4.96,3.75,4.24
230.0,-6.36,4.9,3.85,4.25
232.0,-6.29,4.84,3.9,4.22
235.0,-6.25,4.78,3.91,4.25
237.0,-6.16,4.77,3.9,4.25
240.0,-6.24,4.82,3.89,4.25
242.0,-6.19,4.8,3.96,4.25
245.0,-6.21,4.82,3.88,4.25
247.0,-6.23,4.88,3.93,4.25
250.0,-6.13,4.91,4.01,4.25
252.0,-6.07,5.02,4.04,4.25
255.0,-6.2,5.11,3.96,4.27
257.0,-6.17,5.16,3.92,4.25
260.0,-6.19,5.15,3.84,4.24
262.0,-6.33,5.23,3.84,4.25
265.0,-6.39,5.27,4.0,4.25
267.0,-6.62,5.27,3.94,4.25
270.0,-6.8,5.33,3.95,4.27
272.0,-6.82,5.36,3.95,4.25
275.0,-7.08,5.43,3.94,4.25
277.0,-7.08,5.45,3.96,4.27
