Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
12.0,-3.07,3.06,9.21,4.22
12.0,-3.07,3.06,9.21,4.22
15.0,-3.02,3.11,9.08,4.22
17.0,-3.2,2.94,8.9,4.22
20.0,-3.17,2.92,8.8,4.22
22.0,-3.11,3.06,8.94,4.22
25.0,-2.94,3.12,9.22,4.24
27.0,-3.09,3.03,8.87,4.22
30.0,-3.13,2.88,8.49,4.22
32.0,-3.11,3.14,8.87,4.22
35.0,-3.12,2.91,9.11,4.22
37.0,-3.36,2.93,8.86,4.22
40.0,-3.27,3.11,8.75,4.22
42.0,-3.26,2.92,8.67,4.22
45.0,-3.32,2.85,8.52,4.22
47.0,-3.17,3.0,8.95,4.22
50.0,-3.13,2.84,8.52,4.22
52.0,-3.18,2.74,8.46,4.21
55.0,-3.15,2.8,8.89,4.22
57.0,-3.13,2.87,8.9,4.22
60.0,-3.14,3.21,9.02,4.22
62.0,-3.27,3.29,8.22,4.22
65.0,-3.48,3.27,8.27,4.22
67.0,-3.52,2.93,9.06,4.22
70.0,-3.42,2.77,9.4,4.22
72.0,-3.42,2.98,8.79,4.22
75.0,-3.35,3.21,8.5,4.22
77.0,-3.34,3.44,8.58,4.22
80.0,-3.38,3.47,8.82,4.22
82.0,-3.37,3.36,8.82,4.22
85.0,-3.48,3.25,8.56,4.22
87.0,-3.49,3.03,8.79,4.24
90.0,-3.51,2.9,8.96,4.22
92.0,-3.43,2.9,8.92,4.22
95.0,-3.34,2.97,8.91,4.22
97.0,-3.27,2.95,8.72,4.22
100.0,-3.22,2.96,8.57,4.21
102.0,-3.1,2.97,8.68,4.22
105.0,-3.11,3.05,8.73,4.22
107.0,-3.19,3.17,8.73,4.22
110.0,-3.08,3.26,8.67,4.24
112.0,-2.98,3.29,8.7,4.22
115.0,-2.94,3.27,8.7,4.22
117.0,-2.78,3.36,8.79,4.22
120.0,-2.83,3.24,8.62,4.22
122.0,-2.77,3.25,8.67,4.24
125.0,-2.7,3.21,8.77,4.22
127.0,-2.63,3.1,8.8,4.24
