Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
12.0,-0.21,9.64,2.76,4.23
12.0,-0.21,9.64,2.76,4.23
15.0,-0.31,9.72,2.79,4.24
17.0,-0.4,9.86,2.82,4.24
20.0,-0.51,9.8,2.76,4.27
22.0,-0.71,9.84,2.84,4.25
25.0,-0.75,9.83,2.86,4.24
27.0,-0.78,9.66,2.87,4.25
30.0,-0.89,9.61,2.85,4.22
32.0,-0.95,9.54,2.8,4.25
35.0,-0.89,9.41,2.92,4.25
37.0,-0.78,9.62,3.05,4.25
40.0,-0.75,9.51,3.07,4.24
42.0,-0.81,9.59,3.02,4.24
45.0,-0.72,9.6,3.01,4.24
47.0,-0.66,9.75,3.18,4.25
50.0,-0.58,9.69,3.0,4.24
52.0,-0.67,9.58,3.03,4.24
55.0,-0.6,9.61,3.12,4.22
57.0,-0.6,9.51,3.13,4.25
60.0,-0.51,9.51,2.97,4.24
62.0,-0.45,9.61,2.78,4.24
65.0,-0.56,9.51,2.73,4.24
67.0,-0.63,9.47,2.77,4.25
70.0,-0.72,9.39,2.69,4.24
72.0,-0.72,9.52,2.93,4.25
75.0,-0.6,9.47,2.93,4.24
77.0,-0.53,9.43,2.8,4.25
80.0,-0.53,9.37,2.66,4.24
82.0,-0.54,9.27,2.4,4.24
85.0,-0.5,9.6,2.64,4.25
87.0,-0.4,9.62,2.6,4.24
90.0,-0.27,9.53,2.74,4.24
92.0,-0.21,9.48,2.43,4.24
95.0,-0.05,9.44,2.35,4.24
97.0,-0.11,9.38,2.17,4.24
100.0,-0.06,9.32,2.34,4.25
102.0,-0.12,9.48,2.53,4.25
105.0,-0.24,9.6,2.44,4.25
107.0,-0.38,9.6,2.46,4.25
110.0,-0.33,9.48,2.27,4.25
112.0,-0.31,9.45,2.58,4.24
115.0,-0.26,9.36,2.6,4.25
117.0,-0.3,9.26,2.46,4.24
120.0,-0.18,9.18,2.51,4.24
122.0,-0.18,9.2,2.66,4.24
125.0,-0.21,9.29,2.74,4.25
127.0,-0.26,9.32,2.68,4.25
130.0,-0.23,9.44,2.57,4.24
132.0,-0.32,9.56,2.47,4.22
135.0,-0.37,9.63,2.38,4.24
137.0,-0.42,9.54,2.3,4.25
140.0,-0.39,9.51,2.34,4.27
142.0,-0.36,9.52,2.25,4.25
145.0,-0.25,9.36,2.2,4.26
147.0,-0.23,9.44,2.23,4.24
150.0,-0.15,9.39,2.22,4.24
152.0,-0.1,9.43,2.28,4.24
155.0,-0.07,9.45,2.34,4.24
157.0,0.03,9.5,2.45,4.22
159.0,0.05,9.48,2.39,4.25
162.0,0.13,9.53,2.41,4.24
165.0,0.16,9.54,2.48,4.25
167.0,0.11,9.53,2.38,4.25
169.0,0.15,9.6,2.57,4.24
172.0,0.23,9.56,2.77,4.25
