Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
12.0,-0.58,6.54,7.06,4.22
12.0,-0.58,6.54,7.06,4.22
15.0,-0.69,6.45,6.97,4.2
17.0,-0.71,6.47,7.13,4.17
20.0,-0.84,6.47,7.26,4.2
22.0,-0.96,6.26,7.31,4.19
25.0,-0.82,6.27,7.82,4.18
27.0,-0.74,6.35,7.59,4.2
29.0,-0.76,6.33,7.18,4.2
32.0,-0.94,6.49,7.12,4.19
34.0,-1.09,6.61,7.2,4.2
37.0,-0.95,6.59,7.66,4.2
39.0,-1.08,6.53,7.4,4.2
42.0,-0.97,6.45,7.32,4.19
44.0,-0.79,6.56,7.29,4.17
47.0,-0.67,6.49,7.23,4.19
49.0,-0.57,6.44,7.21,4.2
52.0,-0.45,6.35,7.26,4.2
54.0,-0.45,6.44,7.24,4.2
57.0,-0.38,6.58,7.1,4.19
59.0,-0.41,6.65,7.3,4.22
62.0,-0.52,6.72,7.12,4.19
64.0,-0.55,6.69,6.98,4.2
67.0,-0.6,6.62,7.17,4.22
69.0,-0.59,6.61,7.44,4.19
72.0,-0.55,6.59,7.5,4.2
74.0,-0.37,6.53,7.53,4.22
77.0,-0.3,6.2,7.09,4.19
79.0,-0.26,6.39,7.04,4.19
82.0,-0.25,6.6,7.1,4.19
84.0,-0.34,6.82,7.24,4.2
87.0,-0.39,6.94,7.35,4.19
89.0,-0.38,7.01,7.38,4.19
92.0,-0.4,6.99,7.33,4.19
94.0,-0.41,6.88,7.26,4.2
97.0,-0.34,6.84,7.37,4.17
99.0,-0.41,6.76,7.34,4.19
102.0,-0.4,6.77,7.42,4.19
104.0,-0.4,6.86,7.39,4.19
107.0,-0.43,6.9,7.36,4.19
109.0,-0.4,6.84,7.4,4.2
112.0,-0.41,6.83,7.4,4.19
114.0,-0.41,6.88,7.41,4.2
117.0,-0.33,6.89,7.37,4.2
119.0,-0.34,6.94,7.4,4.17
122.0,-0.28,6.92,7.47,4.19
124.0,-0.31,6.96,7.42,4.2
127.0,-0.28,6.96,7.44,4.19
129.0,-0.29,6.91,7.47,4.2
132.0,-0.31,6.89,7.45,4.22
134.0,-0.39,6.9,7.45,4.2
137.0,-0.36,6.9,7.45,4.22
139.0,-0.35,6.92,7.51,4.19
142.0,-0.37,6.91,7.32,4.19
144.0,-0.29,6.92,7.31,4.2
147.0,-0.32,6.95,7.34,4.17
149.0,-0.43,7.0,7.28,4.2
152.0,-0.38,7.0,7.26,4.2
154.0,-0.4,7.05,7.23,4.2
157.0,-0.37,7.0,7.2,4.19
159.0,-0.36,7.0,7.11,4.19
162.0,-0.34,7.05,7.14,4.19
164.0,-0.3,7.05,7.16,4.19
167.0,-0.35,7.13,7.21,4.2
169.0,-0.27,7.07,7.1,4.2
172.0,-0.2,7.12,7.21,4.19
174.0,-0.22,7.12,7.12,4.19
184.0,-0.04,6.99,7.24,4.2
187.0,0.09,7.02,7.2,4.19
189.0,0.11,6.98,7.26,4.19
192.0,0.24,7.03,7.25,4.2
194.0,0.32,7.05,7.28,4.19
197.0,0.41,7.02,7.23,4.19
199.0,0.33,7.07,7.28,4.19
202.0,0.49,7.15,7.33,4.19
204.0,0.58,7.19,7.41,4.19
207.0,0.59,7.2,7.41,4.22
209.0,0.53,7.21,7.42,4.19
212.0,0.66,7.18,7.47,4.2
214.0,0.72,7.24,7.5,4.2
217.0,0.75,7.24,7.45,4.19
219.0,0.75,7.22,7.54,4.19
222.0,0.76,7.3,7.45,4.17
224.0,0.71,7.29,7.47,4.2
227.0,0.77,7.25,7.5,4.22
229.0,0.76,7.3,7.45,4.19
232.0,0.8,7.32,7.4,4.19
234.0,0.8,7.35,7.39,4.2
236.0,0.83,7.35,7.33,4.19
239.0,0.74,7.38,7.4,4.19
242.0,0.82,7.38,7.29,4.22
244.0,0.74,7.33,7.33,4.2
246.0,0.88,7.38,7.31,4.19
249.0,0.94,7.39,7.27,4.15
251.0,0.91,7.31,7.14,4.2
254.0,0.93,7.32,7.18,4.19
256.0,0.98,7.31,7.16,4.21
259.0,0.99,7.29,7.21,4.19
261.0,1.01,7.3,7.13,4.2
264.0,1.08,7.26,7.2,4.2
266.0,1.13,7.26,7.08,4.19
269.0,1.14,7.27,7.04,4.2
271.0,1.16,7.19,7.1,4.2
274.0,1.18,7.18,7.08,4.2
276.0,1.18,7.18,7.14,4.2
279.0,1.28,7.2,7.15,4.19
281.0,1.43,7.22,7.17,4.19
284.0,1.36,7.1,7.31,4.2
286.0,1.39,7.12,7.32,4.21
