Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
11.0,0.49,9.12,2.11,4.25
11.0,0.49,9.12,2.11,4.25
13.0,0.41,9.28,2.28,4.24
16.0,0.23,9.28,2.26,4.25
18.0,0.17,9.33,2.38,4.24
21.0,0.15,9.18,2.29,4.25
23.0,0.04,9.32,2.27,4.25
26.0,0.01,9.37,2.2,4.25
28.0,-0.05,9.47,2.23,4.25
31.0,-0.14,9.3,2.22,4.25
33.0,-0.25,9.34,2.03,4.25
36.0,-0.19,9.27,2.17,4.25
38.0,-0.27,9.12,2.21,4.25
41.0,-0.15,9.06,2.31,4.27
43.0,-0.18,9.07,1.95,4.24
46.0,-0.2,9.18,1.99,4.25
48.0,-0.27,9.17,2.2,4.24
51.0,-0.4,9.25,2.07,4.22
53.0,-0.45,9.36,2.08,4.25
56.0,-0.45,9.4,2.1,4.25
58.0,-0.43,9.45,2.19,4.25
61.0,-0.42,9.45,1.92,4.22
63.0,-0.3,9.08,2.21,4.25
66.0,-0.17,9.27,2.3,4.24
68.0,-0.0,9.45,1.74,4.27
73.0,-0.11,9.36,2.24,4.25
76.0,0.01,9.29,2.37,4.25
78.0,0.14,9.21,1.95,4.25
81.0,0.1,9.19,1.58,4.25
83.0,0.03,9.04,1.51,4.25
86.0,0.02,9.09,1.86,4.24
88.0,-0.02,9.09,1.9,4.21
91.0,-0.1,9.3,1.89,4.25
93.0,-0.07,9.29,1.82,4.24
96.0,0.04,9.24,1.8,4.24
98.0,0.07,9.18,1.79,4.24
101.0,0.11,9.18,1.84,4.24
103.0,0.18,9.19,1.81,4.27
106.0,0.04,9.19,1.76,4.24
108.0,0.02,9.13,1.97,4.24
111.0,0.12,9.19,2.02,4.25
113.0,0.04,9.19,1.98,4.25
116.0,0.08,9.27,1.86,4.25
118.0,0.03,9.28,1.87,4.27
121.0,-0.09,9.3,1.85,4.23
123.0,-0.13,9.32,1.83,4.24
126.0,-0.2,9.47,1.75,4.24
128.0,-0.37,9.44,1.87,4.25
131.0,-0.48,9.5,1.84,4.25
133.0,-0.61,9.6,1.86,4.24
136.0,-0.85,9.71,1.85,4.24
138.0,-0.94,9.68,1.91,4.24
141.0,-1.1,9.8,2.25,4.24
143.0,-1.33,9.88,1.88,4.25
146.0,-1.48,10.04,1.69,4.25
148.0,-1.7,10.19,1.71,4.25
151.0,-1.87,10.32,1.66,4.25
153.0,-2.0,10.28,1.79,4.25
156.0,-2.11,10.39,1.58,4.25
158.0,-2.11,10.43,1.61,4.25
161.0,-2.22,10.42,1.54,4.25
163.0,-2.2,10.45,1.57,4.22
166.0,-2.22,10.49,1.5,4.24
168.0,-2.05,10.49,1.47,4.25
171.0,-1.93,10.44,1.6,4.24
173.0,-1.82,10.38,1.48,4.25
176.0,-1.68,10.37,1.38,4.24
178.0,-1.69,10.35,1.34,4.25
181.0,-1.5,10.32,1.2,4.25
183.0,-1.35,10.28,1.13,4.27
186.0,-1.31,10.25,1.0,4.25
188.0,-1.21,10.07,0.9,4.25
191.0,-1.03,10.14,0.93,4.2
193.0,-0.88,10.02,0.79,4.24
196.0,-0.81,9.81,0.63,4.25
198.0,-0.77,9.74,0.61,4.22
201.0,-0.62,9.64,0.7,4.25
203.0,-0.66,9.48,0.79,4.25
206.0,-0.6,9.54,0.75,4.24
208.0,-0.48,9.52,0.85,4.25
211.0,-0.46,9.5,0.96,4.24
213.0,-0.39,9.47,0.83,4.24
216.0,-0.34,9.52,0.85,4.24
218.0,-0.39,9.6,0.86,4.25
228.0,-0.69,9.74,0.95,4.25
231.0,-0.8,9.7,1.13,4.25
233.0,-0.93,9.66,1.11,4.25
236.0,-1.08,9.7,1.14,4.25
238.0,-1.17,9.69,1.13,4.24
241.0,-1.18,9.66,1.06,4.25
243.0,-1.22,9.69,1.0,4.25
246.0,-1.23,9.83,1.12,4.25
248.0,-1.22,9.84,1.1,4.24
251.0,-1.28,9.82,1.13,4.25
253.0,-1.24,9.86,1.3,4.25
256.0,-1.28,9.78,1.37,4.25
258.0,-1.15,9.82,1.44,4.24
261.0,-1.19,9.78,1.44,4.24
263.0,-1.18,9.82,1.49,4.24
266.0,-1.15,9.75,1.61,4.22
268.0,-1.24,9.72,1.6,4.24
271.0,-1.21,9.69,1.45,4.24
273.0,-1.13,9.67,1.62,4.25
276.0,-1.13,9.58,1.66,4.27
278.0,-1.18,9.5,1.64,4.25
281.0,-1.13,9.41,1.67,4.23
283.0,-1.11,9.43,1.64,4.24
286.0,-1.01,9.43,1.67,4.24
288.0,-1.07,9.37,1.6,4.27
291.0,-1.03,9.35,1.6,4.25
293.0,-1.08,9.39,1.5,4.2
296.0,-1.01,9.45,1.53,4.25
298.0,-1.0,9.42,1.46,4.24
301.0,-0.98,9.5,1.52,4.24
303.0,-0.96,9.43,1.5,4.24
306.0,-0.93,9.46,1.45,4.25
308.0,-1.07,9.44,1.43,4.24
311.0,-0.97,9.48,1.4,4.27
313.0,-0.99,9.47,1.43,4.27
316.0,-1.01,9.43,1.42,4.27
318.0,-0.91,9.44,1.42,4.24
321.0,-0.91,9.45,1.29,4.25
323.0,-1.03,9.41,1.3,4.27
326.0,-0.96,9.4,1.3,4.25
328.0,-0.96,9.51,1.36,4.24
331.0,-0.89,9.39,1.25,4.25
333.0,-0.89,9.46,1.25,4.24
336.0,-0.86,9.47,1.25,4.24
338.0,-0.77,9.44,1.21,4.25
341.0,-0.73,9.47,1.08,4.24
343.0,-0.67,9.47,1.04,4.25
346.0,-0.71,9.42,1.1,4.25
348.0,-0.64,9.38,1.09,4.25
351.0,-0.71,9.53,1.2,4.27
353.0,-0.68,9.4,1.03,4.24
356.0,-0.62,9.38,1.03,4.27
358.0,-0.64,9.43,0.96,4.24
361.0,-0.57,9.44,0.91,4.24
363.0,-0.6,9.46,1.03,4.25
366.0,-0.51,9.45,1.15,4.24
368.0,-0.43,9.47,1.2,4.22
371.0,-0.36,9.58,1.22,4.24
373.0,-0.36,9.54,1.17,4.25
376.0,-0.38,9.58,1.24,4.25
378.0,-0.44,9.5,1.23,4.24
381.0,-0.48,9.68,1.14,4.24
383.0,-0.51,9.67,1.25,4.24
386.0,-0.59,9.74,1.24,4.25
388.0,-0.66,9.76,1.24,4.24
391.0,-0.72,9.84,1.04,4.25
393.0,-0.66,9.82,1.16,4.25
396.0,-0.7,9.91,1.05,4.22
398.0,-0.67,9.95,1.07,4.25
401.0,-0.66,9.99,1.05,4.25
403.0,-0.61,9.92,1.14,4.24
413.0,-0.43,9.97,1.15,4.25
416.0,-0.37,9.93,1.07,4.25
418.0,-0.42,10.02,1.13,4.25
421.0,-0.42,9.97,1.02,4.25
423.0,-0.35,9.98,1.1,4.25
426.0,-0.34,9.81,1.12,4.24
428.0,-0.35,9.92,1.12,4.27
431.0,-0.4,9.78,1.17,4.25
433.0,-0.37,9.8,1.17,4.25
436.0,-0.4,9.82,1.11,4.25
438.0,-0.45,9.77,1.11,4.25
441.0,-0.44,9.67,1.14,4.24
443.0,-0.5,9.83,1.22,4.25
446.0,-0.51,9.8,1.19,4.25
448.0,-0.55,9.83,1.25,4.25
451.0,-0.61,9.75,1.16,4.25
453.0,-0.59,9.85,1.28,4.25
455.0,-0.59,9.91,1.25,4.25
458.0,-0.67,9.83,1.25,4.24
460.0,-0.68,9.9,1.25,4.24
463.0,-0.77,9.92,1.36,4.25
465.0,-0.79,9.91,1.27,4.24
468.0,-0.78,9.91,1.23,4.24
470.0,-0.79,9.98,1.31,4.22
473.0,-0.79,9.93,1.12,4.25
475.0,-0.87,9.96,1.18,4.25
478.0,-0.91,9.85,1.2,4.25
480.0,-0.84,9.9,1.16,4.24
483.0,-0.82,9.82,1.27,4.24
485.0,-0.87,9.68,1.2,4.24
488.0,-0.85,9.81,1.24,4.24
490.0,-0.77,9.75,1.29,4.25
493.0,-0.8,9.7,1.39,4.24
495.0,-0.84,9.73,1.33,4.25
498.0,-0.87,9.67,1.28,4.22
500.0,-0.84,9.67,1.38,4.24
503.0,-0.89,9.7,1.5,4.25
505.0,-0.91,9.7,1.48,4.24
508.0,-0.79,9.61,1.48,4.25
510.0,-0.85,9.71,1.63,4.25
513.0,-0.87,9.7,1.62,4.25
515.0,-0.86,9.65,1.62,4.25
518.0,-0.89,9.72,1.68,4.24
520.0,-0.88,9.8,1.71,4.25
523.0,-0.92,9.79,1.75,4.24
525.0,-0.96,9.83,1.72,4.24
528.0,-1.06,9.82,1.73,4.24
530.0,-1.11,9.73,1.73,4.25
